annotation_example,case,author,doc_id,snippet
9,main,Hindawi_32,60724057,"وزير المعارف: إن وزارة المعارف لا تمانع في ذلك.
الرئيس: بقيت النقطة الثانية؛ وهي تكليف النيابة العمومية بإقامة الدعوى ضد المؤلف؛ فهل ترى الحكومةُ — إذا وافق المجلس على إبداء هذه الرغبة — في ذلك اعتداءً على اختصاصها؟
عبد الخالق
"
9,snippet_same_author_diff_doc_dev_out,Hindawi_32,80383953,"قال «الشيخ علي»: تلك هي الحقيقة يا بني، فلن يأتيَ لكائن مَن كان أن يقسم النساء إلى جميلات وقبيحات إلا إذا طوى في ذلك معنى القسمة إلى شهواتٍ جميلة وشهواتٍ قبيحة، ومتى انتهينا إلى هذا فقد خرجنا إلى المخاطبة بلغةٍ
"
9,snippet_diff_author_diff_corpus_dev_out,Gumar_69,00937,"الدكتور: ايه الكلام ده... دا باباك ام بارح كان هنا... ازي تئول كده... لو كنت زعلان مع باباك ما يصوحش تئول الكلام ده... أولي يبني عامل إيه النهار ده كويس
مازن: إيوه كويس
الدكتور: دا أنا حكتب لك خروق النهار
"
9,snippet_same_author_same_doc,Hindawi_32,60724057,"فكري أباظة بك: يمكنك استيفاء الموضوع في فترة التأجيل.
الرئيس: إن الموضوع مستوفى.
وزير الحقانية: يظهر لي أن المسألة تكاد تكون من اختصاص وزير الحقانية. يريد المجلس الموقر أن يبدي رغبة بتقديم مؤلف كتاب «الشعر الجاهلي» إلى المحاكمة.
وتقول الحكومة
"
9,snippet_diff_author_same_corpus_dev_in,Hindawi_160,20916382,"لم يحضر شراهيل أو غيره. عبد المجيد هو الذي جاء بعد أن قضى مدته، وبعد أن تخلَّصت ذات من العفاريت بطريقتها الخاصة.
فهي ليست ساذجةً كما قد يتبادر إلى الذهن؛ أن يتحرَّك المفرش ويختفي، أو تدب الحياة في لعب الأطفال
"
9,snippet_same_author_diff_doc_dev_in,Hindawi_32,63135060,"(٧٨) يريد أنه أساس تاريخي لما سيبنى عليه، فليضعوا كل همهم فيه، أو هو يملك الأيام الآتية، فإذا أحرزوه أحرزوها معه، وإن خسروه ذهبت بذهابه.
(٧٩) أي زدناه صفرًا فعددنا عشرة، وأخرجناه كذلك صفرًا ولا فخر، وهذه الكثرة كثرة لغوية،
"
9,snippet_diff_author_same_corpus_dev_out,Hindawi_26,51519061,"والواقع أن أكثر المغنين المشهورين كانوا في البداية من الذين ينشدون في حلقات الذكر ويقرءون قصة المولد النبوي.
(٦)
ولا بد من الإشارة إلى أن روح التشيُّع سرى إلى بعض من يقرءون قصة المولد النبوي بدون أن يتنبهوا إلى ذلك؛
"
9,snippet_diff_author_diff_corpus_dev_in,Gumar_169,00628,"غسان انا مااقول لااحد ها الحكي بس علشان تعرف اني اعتبرك مو اخوي الصغير لا...انت الانسان اللي ممكن يسمعني إذا ضاق صدري؟
غسان/انا اخوك وبظل اخوك واسمعك لااخر شي....
هالة/خلنا مني وانت قول وش جايبك غرفتي بنص الليل ؟اعرفك منت
"
8,main,Hindawi_26,92480708,"وكم جميلٍ بورد الخد حيَّاني
•••
يا مُوقد النار في قلبي مؤججةً
وقاطنًا بين أنهار وريحانِ
عَرِّج عليَّ فما نفسي بصابرةٍ
على نواك وما طرفي بوسنان
وإليك قوله من كلمة ثانية:
إيهِ يا فتنة الوجود سلامٌ
من مَشوقٍ متيَّم القلب
"
8,snippet_diff_author_diff_corpus_dev_out,Gumar_483,00587,"جلست قوت وهي متوتره حييييل ...التفت ليها عتاب وهو مبتسم ورجع يتمدد ويحط راسه على رجلها
عتاب:لو اننا نمسي اهنيا كل يوووم مهب احسن
ارتجفت قوت وحاولت توقف لاكنه مسكها
عتاب:تعااالي اهنيا
ناظرته بخوووف...اعتدل جالس وناظرها
عتاب:وش فيييج ياحبة عيييني
"
8,snippet_diff_author_diff_corpus_dev_in,Gumar_44,00999,"عنود : الله يعطيك طولة العمر ويخليك لي يالغاليه .. وتضم امها ..
والكل تدمع عيونها ..
جواهر : بس بتقلبوها بكي يالله يما لا تخلينها تذرف بعد يكفي السيول كيف بنسدها الحين وتنادي خبيرة المكياج تصلح الكحل ..
خبيرة
"
8,snippet_same_author_same_doc,Hindawi_26,92480708,"إذا تلفتُّ في إطلالها ابتدرت
للقلب والعين أمواهٌ ونيران
كلمٌ بقلبي أداويه ويَقرفهُ
طول ادِّكاري لمن لي منه نسيان١
لا لِلَّوائم إقصار بلائمة
عن العميد ولا للقلب سلوان
على مواعيدهم خلف إذا وعدوا
وفي ديونهم مَطل وليان
هم عرضوا بوفاء
"
